No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
27,正,6.6,0.49,5,1.673,2573
36,恰好,6.4,0.49,5,0.632,56
49,认真,7,0.632,5,1.265,287
55,愿意,6.8,0.748,5,1.414,879
58,支持,7.2,0.4,5,1.789,966
66,死,1.2,0.4,5,3.033,974
82,答应,5.8,0.748,5,1.897,234
96,帮忙,6.4,0.49,5,1.095,297
178,隔离,3.4,0.49,5,1.414,62
182,说长道短,3.2,0.4,5,0.894,0
191,怜悯,5.8,1.166,5,1.414,19
198,亲切,7,0.632,5,1.549,127
209,饶恕,5.6,0.8,5,1.789,0
240,仁术,7.4,0.49,5,2.28,0
248,内疚,3,1.095,5,2.098,20
262,反派,3.2,0.4,5,1.673,0
346,劣,3,0.894,5,0.632,10
356,好处,6.2,0.4,5,1.673,305
374,有效,6.6,0.8,5,1.549,790
375,有益,6.6,0.8,5,1.549,57
378,次要,4.6,0.49,5,1.095,29
388,死路,3.2,0.98,5,1.673,0
404,自鸣得意,4.2,0.4,5,1.897,0
409,伶俐,6.8,0.748,5,1.673,10
418,克制,5,0.632,5,1.673,27
425,利益,6.2,0.748,5,1.673,578
450,巫婆,3.6,0.8,5,1.265,32
454,忍,3.8,0.748,5,1.673,65
545,怪异,3.6,0.49,5,1.414,41
579,泣,3.4,0.49,5,1.095,4
614,勉强,3.8,0.748,5,0.894,130
679,珍惜,7,0.632,5,1.673,139
701,苦恼,3.2,0.4,5,1.673,45
716,首要,5.2,0.4,5,1.673,76
735,容光焕发,7.2,0.4,5,2.098,6
747,恩惠,6.4,0.49,5,1.673,10
755,挫折,3,0.632,5,1.897,234
785,真诚,7,0.632,5,1.095,75
793,神圣,7.2,0.748,5,1.673,66
810,臭味,3.8,0.4,5,1.673,9
819,衰弱,3.2,0.4,5,2.098,26
820,衰退,3.2,0.4,5,1.789,75
825,回避,3.6,0.49,5,1.673,47
828,迷惘,3.4,0.49,5,2.098,25
847,偷,2.4,0.8,5,1.673,110
887,控制,4.2,0.98,5,2.098,758
890,敏感,4.6,0.8,5,1.095,201
915,牵挂,4.4,1.356,5,1.265,15
919,理想,6.8,0.98,5,1.265,450
920,甜言,6.4,0.8,5,1.673,0
922,甜密,7,1.095,5,1.897,0
965,贪念,3.6,0.49,5,2.098,4
977,陈腐,2.8,0.748,5,1.673,10
980,麻烦,3.6,0.49,5,0.894,164
989,善意,6.8,0.4,5,1.673,64
997,喜气,7,0.632,5,1.414,17
1001,喜剧,6.8,0.98,5,2.098,48
1007,丧气,3,0.632,5,1.673,0
1026,悲苦,2.4,0.49,5,1.673,15
1028,悲情,3,0.632,5,1.265,34
1037,悲悯,2.8,0.4,5,2.28,8
1123,跛,3.2,0.98,5,1.673,5
1127,开明,7,0.894,5,1.673,34
1130,阳光,7.2,1.47,5,1.897,317
1133,顺利,7,0.894,5,1.673,509
1145,伤痕,3.6,0.49,5,1.414,38
1176,慈悲,5.6,1.2,5,2.53,72
1204,滑稽,4.2,0.4,5,1.095,13
1242,夸大,3.6,0.49,5,1.265,30
1250,过错,3.2,0.98,5,1.673,20
1274,惨,2.8,0.748,5,1.673,78
1290,疑虑,3.6,1.02,5,1.095,68
1378,乐此,6.4,0.49,5,1.789,0
1384,乐趣,6.4,0.8,5,1.549,186
1385,乐观,7,0.632,5,0.894,171
1402,奖章,6.8,0.4,5,1.673,57
1422,适宜,6.4,0.49,5,0.632,53
1423,适时,6.2,0.4,5,1.265,98
1443,擅长,6.2,0.748,5,1.549,78
1468,融洽,7.4,0.49,5,2.098,36
1479,输家,3,0.632,5,1.789,6
1481,迟到,3.8,0.4,5,0.632,42
1498,优雅,6.8,0.4,5,1.414,80
1500,优点,7,0.632,5,1.095,256
1519,繁琐,3.8,0.98,5,1.095,27
1541,向往,6,0.632,5,1.549,92
1552,坏死,2.8,0.748,5,1.897,25
1554,坏处,3.4,0.49,5,1.095,19
1555,坏话,3.4,0.49,5,1.414,14
1565,赞同,7,0.894,5,1.265,84
1573,愿,6,0.632,5,1.673,682
1580,宝贵,7,0.894,5,1.673,144
1616,变质,3.4,0.49,5,1.265,31
1662,完成,6.4,1.02,5,0.63,1663
1684,达成,6.4,0.49,5,1.79,536
